transaction_id,account_id,amount,balance_after,txn_date,currency,merchant_category,risk_score
T1001,A001,120.50,1520.10,2025-04-01,USD,groceries,0.12
T1002,A002,2500.00,320.00,2025-04-01,USD,travel,0.85
T1003,A003,15.75,980.50,2025-04-02,USD,coffee,0.05
T1004,A004,99999.99,12.00,2025-04-02,USD,wire_transfer,0.98
T1005,A005,49.99,700.20,2025-04-03,USD,subscriptions,0.30
T1006,A006,N/A,400.00,2025-04-03,USD,groceries,0.10
T1007,A007,85.20,100.00,not_a_date,USD,gas,0.40
T1008,A008,0,250.00,2025-04-04,USD,atm,0.15
T1009,A009,60.00,600.00,2025-04-05,EUR,restaurants,0.25
T1010,A010,130.00,890.00,2025-04-05,USD,health,0.22
T1011,A011,540.00,10.00,2025-04-06,USD,travel,0.65
T1012,A012,12.00,1100.00,2025-04-06,USD,coffee,0.08
T1013,A013,75.00,500.00,2025-04-07,USD,groceries,0.20
T1014,A014,20.00,95.00,2025-04-07,USD,coffee,0.06
T1015,A015,150.00,300.00,2025-04-08,USD,gas,0.18
T1016,A016,5000.00,50.00,2025-04-08,USD,travel,0.90
T1017,A017,30.00,700.00,2025-13-01,USD,restaurants,0.12
T1018,A018,15.00,800.00,2025-04-09,USD,subscriptions,0.10
T1019,A019,200.00,100.00,2025-04-10,USD,wire_transfer,0.70
T1020,A020,40.00,200.00,2025-04-10,USD,groceries,0.14
